Variable,Coefficient,Std_Error,T_Statistic,P_Value,CI_Lower,CI_Upper,Abs_Coef
hour_13,-0.022804641624370504,0.08849433870045459,-0.25769605106109866,0.7966416170231877,-0.1962508453663213,0.15064156211758029,0.022804641624370504
hour_14,0.011611033878102122,0.08832726667001914,0.13145469474878754,0.8954156851993396,-0.16150771378184353,0.18472978153804775,0.011611033878102122
hour_15,-0.1371322414605317,0.08825995173704097,-1.5537312083412345,0.12024927978925164,-0.31011905390573186,0.03585457098466843,0.1371322414605317
hour_16,-0.02950930983322331,0.08824451355717461,-0.33440390392207103,0.738074956612852,-0.20246586391693017,0.14344724425048355,0.02950930983322331
hour_17,-0.00826245599278503,0.08796707436691058,-0.09392668850531886,0.9251674368487419,-0.18067523772871016,0.16415032574314012,0.00826245599278503
hour_18,-0.18329587557963564,0.08831843909145327,-2.075397589282955,0.03795029305145163,-0.3563973214549364,-0.010194429704334845,0.18329587557963564
hour_19,-0.041808853505128016,0.09040804458269056,-0.4624461650300166,0.6437616334056783,-0.21900586238587993,0.13538815537562388,0.041808853505128016
hour_20,-0.040369818305585586,0.0913338627886423,-0.44200274764471825,0.6584874394041523,-0.2193814026217341,0.13864176601056294,0.040369818305585586
hour_21,-0.06257731610296045,0.09013368290171508,-0.6942722641345627,0.4875118555875612,-0.2392365844602362,0.11408195225431532,0.06257731610296045
hour_22,-0.026311238104713232,0.08912138013444865,-0.29522924875063716,0.7678189021647436,-0.20098642392520483,0.14836394771577838,0.026311238104713232
hour_23,0.051387652571138656,0.08736513546068042,0.5881940467460981,0.5564023610339435,-0.11984534727474265,0.22262065241701995,0.051387652571138656
source_Beacon Hill,-0.3048712592206791,0.0647467589057708,-4.708672130822387,2.494131655782562e-06,-0.43177293114360404,-0.17796958729775414,0.3048712592206791
source_Boston University,-1.1572213229256776,0.05702937014277266,-20.29167287011204,1.6813255491404153e-91,-1.2689971483436222,-1.045445497507733,1.1572213229256776
source_Fenway,-0.9943846044436853,0.056128750827762516,-17.716136378931147,3.334277257228305e-70,-1.1043952434836184,-0.8843739654037522,0.9943846044436853
source_Financial District,0.4217250276104725,0.06574149778703801,6.414898379355487,1.4106195861428294e-10,0.29287369783141814,0.5505763573895268,0.4217250276104725
source_Haymarket Square,-0.525220729946083,0.055844800302836554,-9.405006860046113,5.22687524802456e-21,-0.6346748346209687,-0.41576662527119734,0.525220729946083
source_North End,-0.3516752503855456,0.05366206297831706,-6.553517156573818,5.6260400955469585e-11,-0.4568512565033558,-0.24649924426773542,0.3516752503855456
source_North Station,0.2700634329231429,0.06549780867951778,4.123243790407847,3.7364379964024494e-05,0.14168972635946417,0.3984371394868216,0.2700634329231429
source_Northeastern University,-1.2925436657342715,0.05532577322700639,-23.362414844720817,1.2257162353658593e-120,-1.400980493176918,-1.1841068382916249,1.2925436657342715
source_South Station,-0.8122705576284088,0.053700727061846136,-15.125876353460388,1.1273444759850284e-51,-0.9175223441702298,-0.7070187710865878,0.8122705576284088
source_Theatre District,0.6416088259803023,0.0651813733871749,9.843438280583166,7.357435869469858e-23,0.5138553229346433,0.7693623290259614,0.6416088259803023
source_West End,0.2704897307517327,0.0651330995108671,4.152876690700141,3.28384761415127e-05,0.1428308430307199,0.3981486184727455,0.2704897307517327
destination_Beacon Hill,-0.2830131430828428,0.06440961018039132,-4.393958328426626,1.113316750606135e-05,-0.409254013790998,-0.15677227237468763,0.2830131430828428
destination_Boston University,-1.0004374818691701,0.05671323011347179,-17.640283931412398,1.278765808799628e-69,-1.1115936824756485,-0.8892812812626918,1.0004374818691701
destination_Fenway,-1.2088306809698672,0.05672166874659664,-21.311620544351463,9.987802608407331e-101,-1.3200034210397933,-1.0976579408999412,1.2088306809698672
destination_Financial District,0.35074964623907956,0.06431917151673365,5.453267477921828,4.947965284248595e-08,0.22468603255225783,0.4768132599259013,0.35074964623907956
destination_Haymarket Square,-0.802060389268446,0.056550327231827596,-14.18312551898075,1.193327163493182e-45,-0.9128973051973424,-0.6912234733395497,0.802060389268446
destination_North End,-0.9950866348976213,0.05461994576707604,-18.218374641767628,3.934345832245195e-74,-1.1021400620547859,-0.8880332077404566,0.9950866348976213
destination_North Station,0.20545753546008363,0.06466412660666085,3.1773031855798712,0.0014866202803587535,0.0787178203221639,0.33219725059800337,0.20545753546008363
destination_Northeastern University,-1.0757225193567572,0.05507948196796266,-19.530367405823792,6.596373670511805e-85,-1.1836766234464382,-0.9677684152670762,1.0757225193567572
destination_South Station,-0.9236998908017122,0.05559539346882448,-16.614683936353174,5.704440323717079e-62,-1.0326651656917558,-0.8147346159116687,0.9236998908017122
destination_Theatre District,0.26601683962876893,0.06457441606083825,4.119539220891187,3.7970154880972885e-05,0.13945295442344205,0.3925807248340958,0.26601683962876893
destination_West End,0.035171436549491,0.0644795977648843,0.5454661283362632,0.5854332524964166,-0.09120660768883163,0.16154948078781364,0.035171436549491
